Printing dynamic symbols for /bin/ls

SHdr:{name=.dynsym, sh_name=0x51, sh_type=SHT_DYNSYM, sh_flags=0x2, sh_addr=0x488, sh_offset=0x488, sh_size=0xd08, sh_link=0x7, sh_info=0x1, sh_addralign=0x8, sh_entsize=0x18}

Symbols:
 [ 70] Sym:{name=fileno, st_name=0x35d, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 71] Sym:{name=tcgetpgrp, st_name=0x4d5, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 72] Sym:{name=__xstat, st_name=0x47c, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 73] Sym:{name=readdir, st_name=0xac, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 74] Sym:{name=wcwidth, st_name=0x2ff, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 75] Sym:{name=fflush, st_name=0x80, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 76] Sym:{name=nl_langinfo, st_name=0x2a8, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 77] Sym:{name=__fxstat, st_name=0x354, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 78] Sym:{name=strcoll, st_name=0x4fe, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 79] Sym:{name=mktime, st_name=0x3ec, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 80] Sym:{name=__freading, st_name=0x2ed, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 81] Sym:{name=fwrite_unlocked, st_name=0x4be, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 82] Sym:{name=realloc, st_name=0x15f, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 83] Sym:{name=stpncpy, st_name=0xf7, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 84] Sym:{name=setlocale, st_name=0xb4, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 85] Sym:{name=__printf_chk, st_name=0x97, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 86] Sym:{name=timegm, st_name=0x28d, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 87] Sym:{name=strftime, st_name=0x192, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 88] Sym:{name=mempcpy, st_name=0x220, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
 [ 89] Sym:{name=memmove, st_name=0x48d, st_info=0x12, st_other=STV_DEFAULT, st_shndx=SHN_UNDEF, st_value=0x0, st_size=0x0, st_type=STT_FUNC, st_bind=STB_GLOBAL}
